0,2,14.70,2.20,0,1
2,3,1.77,5.62,0,0
3,2,1.71,0.62,0,1
2,2,1.73,1.33,0,1
2,3,1.68,2.79,0,0
3,-1,3.30,3.72,-1,0
-1,1,1.50,5.30,-1,0
1,3,1.34,0.63,0,0
3,3,1.80,12.26,0,0
3,2,1.75,0.95,0,1
2,3,1.74,2.25,0,0
3,2,1.69,0.85,0,1
2,2,1.39,2.17,0,1
2,3,1.33,1.12,0,0
3,2,1.27,1.75,0,1
0,2,14.41,2.39,0,1
2,3,1.77,5.97,0,0
3,2,1.70,0.79,0,1
2,3,1.70,2.35,0,0
3,2,1.54,8.84,0,1
2,2,1.49,1.50,0,1
2,3,1.52,2.64,0,0
3,3,1.90,3.00,0,0
3,3,1.86,1.02,0,0
3,2,1.81,0.98,0,1
2,2,1.60,2.05,0,1
2,2,1.63,1.40,0,1
2,3,1.47,2.47,0,0
3,2,1.61,1.64,0,1
2,2,1.46,0.75,0,1
2,2,1.38,1.17,0,1
2,3,1.73,2.17,0,0
3,2,1.71,1.07,0,1
2,2,1.65,1.50,0,1
2,3,1.68,2.10,0,0
3,2,1.65,0.95,0,1
2,2,1.65,1.07,0,1
2,3,1.61,2.80,0,0
3,2,1.61,1.08,0,1
2,2,1.47,1.75,0,1
2,3,1.45,0.90,0,0
3,2,1.49,1.13,0,1
2,3,1.83,5.57,0,0
3,2,1.79,1.25,0,1
2,2,1.42,1.97,0,1
2,3,1.39,0.82,0,0
0,2,14.95,2.03,0,1
2,2,10.44,2.99,0,1
2,2,8.13,1.62,0,1
0,3,1.75,6.77,0,0
3,2,1.73,1.05,0,1
2,3,1.72,1.18,0,0
3,2,1.73,1.10,0,1
2,2,1.70,1.43,0,1
0,2,10.12,5.24,0,1
2,2,7.87,1.44,0,1
2,2,5.73,1.38,0,1
2,3,1.76,3.26,0,0
3,2,1.74,2.10,0,1
2,2,1.75,1.50,0,1
2,2,1.70,1.58,0,1
2,3,1.61,2.22,0,0
0,3,1.75,8.72,0,0
3,2,1.70,1.07,0,1
2,2,1.66,1.33,0,1
2,3,1.74,1.82,0,0
0,2,12.28,3.81,0,1
2,2,9.12,2.07,0,1
2,2,6.55,1.70,0,1
0,3,1.75,9.73,0,0
3,2,1.74,0.97,0,1
2,3,1.73,1.20,0,0
3,3,1.72,1.90,0,0
3,3,1.68,1.28,0,0
3,2,1.68,2.12,0,1
2,2,1.54,5.35,0,1
2,2,1.52,3.12,0,1
2,2,1.46,0.58,0,1
0,2,2.86,10.09,0,1
2,3,1.67,1.24,0,0
3,2,1.56,0.76,0,1
2,2,1.58,1.87,0,1
2,2,1.49,1.63,0,1
2,2,1.40,1.50,0,1
2,2,1.32,1.47,0,1
2,3,1.18,2.17,0,0
0,2,2.18,10.55,0,1
2,2,1.65,1.67,0,1
2,2,1.56,1.53,0,1
2,2,1.44,1.48,0,1
0,3,1.72,10.10,0,0
3,2,1.68,1.17,0,1
0,2,2.23,10.54,0,1
2,2,1.76,1.39,0,1
2,2,1.47,2.07,0,1
2,2,1.56,7.09,0,1
2,2,1.56,5.19,0,1
2,2,1.48,0.57,0,1
2,2,1.40,2.39,0,1
2,2,1.39,1.30,0,1
2,1,3.08,17.80,-1,0
1,2,2.45,4.59,0,1
2,2,1.73,1.28,0,1
2,3,1.68,4.32,0,0
0,2,17.72,0.04,0,1
2,2,1.92,10.72,0,1
2,2,1.66,1.97,0,1
2,3,1.60,2.60,0,0
3,2,1.49,3.85,0,1
2,2,1.49,2.85,0,1
2,2,1.40,0.57,0,1
2,2,1.37,3.74,0,1
2,2,1.26,0.75,0,1
0,2,12.55,3.62,0,1
0,2,14.80,2.13,0,1
2,2,11.62,2.05,0,1
2,2,8.64,1.92,0,1
0,2,2.48,10.34,0,1
2,3,1.75,1.11,0,0
3,2,1.79,1.18,0,1
2,2,1.79,1.35,0,1
2,2,1.52,1.99,-1,1
2,2,1.59,2.03,0,1
2,2,1.52,1.45,0,1
2,2,1.52,6.66,0,1
2,2,1.51,0.72,0,1
2,2,1.41,2.02,0,1
2,2,1.30,2.44,0,1
2,2,1.17,3.09,0,1
0,2,1.82,12.46,0,1
2,2,1.75,0.52,0,1
2,2,1.81,9.54,0,1
2,2,1.75,1.13,0,1
2,2,1.64,1.75,0,1
0,2,2.43,10.40,0,1
2,2,1.78,2.13,0,1
2,2,1.72,0.53,0,1
2,2,1.66,1.62,0,1
2,2,1.59,4.54,0,1
2,2,1.55,1.95,0,1
2,2,1.62,1.55,0,1
2,2,1.52,1.57,0,1
2,2,1.75,9.93,0,1
2,2,1.73,1.30,0,1
2,2,1.55,1.62,0,1
